frame,annotated_pose
1,no_pose
2,no_pose
3,no_pose
4,no_pose
5,no_pose
6,no_pose
7,no_pose
8,no_pose
9,no_pose
10,no_pose
11,no_pose
12,no_pose
13,no_pose
14,no_pose
15,no_pose
16,no_pose
17,no_pose
18,no_pose
19,no_pose
20,no_pose
21,no_pose
22,no_pose
23,no_pose
24,no_pose
25,no_pose
26,no_pose
27,no_pose
28,no_pose
29,no_pose
30,no_pose
31,no_pose
32,no_pose
33,no_pose
34,no_pose
35,no_pose
36,no_pose
37,no_pose
38,tree
39,tree
40,tree
41,tree
42,tree
43,tree
44,tree
45,tree
46,tree
47,tree
48,tree
49,tree
50,tree
51,tree
52,tree
53,tree
54,tree
55,tree
56,tree
57,tree
58,tree
59,tree
60,tree
61,tree
62,tree
63,tree
64,tree
65,tree
66,tree
67,tree
68,tree
69,tree
70,tree
71,tree
72,tree
73,tree
74,tree
75,tree
76,tree
77,tree
78,tree
79,tree
80,tree
81,tree
82,tree
83,tree
84,tree
85,tree
86,tree
87,tree
88,tree
89,tree
90,tree
91,tree
92,tree
93,tree
94,tree
95,tree
96,tree
97,tree
98,tree
99,tree
100,tree
101,tree
102,tree
103,tree
104,tree
105,tree
106,tree
107,tree
108,tree
109,tree
110,tree
111,tree
112,tree
113,tree
114,tree
115,tree
116,tree
117,tree
118,tree
119,tree
120,tree
121,tree
122,tree
123,tree
124,tree
125,tree
126,tree
127,tree
128,tree
129,tree
130,no_pose
131,no_pose
132,no_pose
133,no_pose
134,no_pose
135,no_pose
136,no_pose
137,no_pose
138,no_pose
139,no_pose
140,no_pose
141,no_pose
142,no_pose
143,no_pose
144,no_pose
145,no_pose
146,no_pose
147,no_pose
148,no_pose
149,no_pose
150,no_pose
151,tree
152,tree
153,tree
154,tree
155,tree
156,tree
157,tree
158,tree
159,tree
160,tree
161,tree
162,tree
163,tree
164,tree
165,tree
166,tree
167,tree
168,tree
169,tree
170,tree
171,tree
172,tree
173,tree
174,tree
175,tree
176,tree
177,tree
178,tree
179,tree
180,tree
181,tree
182,tree
183,tree
184,tree
185,tree
186,tree
187,tree
188,tree
189,tree
190,tree
191,tree
192,tree
193,tree
194,tree
195,tree
196,tree
197,tree
198,tree
199,tree
200,tree
201,tree
202,tree
203,tree
204,tree
205,tree
206,tree
207,tree
208,tree
209,tree
210,tree
211,tree
212,tree
213,tree
214,tree
215,tree
216,tree
217,tree
218,tree
219,tree
220,tree
221,tree
222,tree
223,tree
224,tree
225,tree
226,tree
227,tree
228,tree
229,tree
230,tree
231,tree
232,tree
233,tree
234,tree
235,tree
236,tree
237,tree
238,tree
239,tree
240,tree
241,tree
242,tree
243,tree
244,tree
245,tree
246,tree
247,tree
248,tree
249,tree
250,tree
251,tree
252,tree
253,tree
254,tree
255,tree
256,no_pose
257,no_pose
258,no_pose
259,no_pose
260,no_pose
261,no_pose
262,no_pose
263,no_pose
264,no_pose
265,no_pose
266,no_pose
267,no_pose
268,no_pose
269,no_pose
270,no_pose
271,no_pose
272,no_pose
273,no_pose
274,no_pose
275,no_pose
276,no_pose
277,no_pose
278,no_pose
279,no_pose
280,no_pose
281,no_pose
282,no_pose
283,warrior
284,warrior
285,warrior
286,warrior
287,warrior
288,warrior
289,warrior
290,warrior
291,warrior
292,warrior
293,warrior
294,warrior
295,warrior
296,warrior
297,warrior
298,warrior
299,warrior
300,warrior
301,warrior
302,warrior
303,warrior
304,warrior
305,warrior
306,warrior
307,warrior
308,warrior
309,warrior
310,warrior
311,warrior
312,warrior
313,warrior
314,warrior
315,warrior
316,warrior
317,warrior
318,warrior
319,warrior
320,warrior
321,warrior
322,warrior
323,warrior
324,warrior
325,warrior
326,warrior
327,warrior
328,warrior
329,warrior
330,warrior
331,warrior
332,warrior
333,warrior
334,warrior
335,warrior
336,warrior
337,warrior
338,warrior
339,warrior
340,warrior
341,warrior
342,warrior
343,warrior
344,warrior
345,warrior
346,warrior
347,warrior
348,warrior
349,warrior
350,warrior
351,warrior
352,warrior
353,warrior
354,warrior
355,warrior
356,warrior
357,warrior
358,warrior
359,warrior
360,warrior
361,warrior
362,warrior
363,warrior
364,warrior
365,warrior
366,warrior
367,warrior
368,warrior
369,warrior
370,warrior
371,warrior
372,warrior
373,warrior
374,warrior
375,warrior
376,warrior
377,warrior
378,warrior
379,warrior
380,warrior
381,warrior
382,warrior
383,warrior
384,warrior
385,warrior
386,warrior
387,warrior
388,warrior
389,warrior
390,warrior
391,warrior
392,warrior
393,warrior
394,warrior
395,warrior
396,warrior
397,warrior
398,warrior
399,warrior
400,warrior
401,warrior
402,warrior
403,warrior
404,warrior
405,warrior
406,warrior
407,warrior
408,warrior
409,warrior
410,warrior
411,warrior
412,warrior
413,warrior
414,warrior
415,warrior
416,warrior
417,warrior
418,warrior
419,warrior
420,warrior
421,warrior
422,warrior
423,warrior
424,warrior
425,warrior
426,warrior
427,warrior
428,warrior
429,warrior
430,warrior
431,warrior
432,warrior
433,warrior
434,warrior
435,warrior
436,warrior
437,warrior
438,warrior
439,warrior
440,warrior
441,warrior
442,warrior
443,warrior
444,warrior
445,warrior
446,warrior
447,warrior
448,warrior
449,warrior
450,warrior
451,warrior
452,warrior
453,warrior
454,warrior
455,warrior
456,warrior
457,warrior
458,warrior
459,warrior
460,warrior
461,warrior
462,warrior
463,warrior
464,warrior
465,warrior
466,warrior
467,warrior
468,warrior
469,warrior
470,warrior
471,warrior
472,warrior
473,warrior
474,warrior
475,warrior
476,warrior
477,warrior
478,warrior
479,warrior
480,warrior
481,warrior
482,warrior
483,warrior
484,warrior
485,warrior
486,warrior
487,warrior
488,warrior
489,warrior
490,warrior
491,warrior
492,warrior
493,warrior
494,warrior
495,warrior
496,warrior
497,warrior
498,warrior
499,warrior
500,warrior
501,warrior
502,warrior
503,warrior
504,warrior
505,warrior
506,warrior
507,warrior
508,warrior
509,warrior
510,warrior
511,warrior
512,warrior
513,warrior
514,warrior
515,warrior
516,warrior
517,warrior
518,warrior
519,warrior
520,warrior
521,warrior
522,warrior
523,warrior
524,warrior
525,warrior
526,warrior
527,warrior
528,warrior
529,warrior
530,warrior
531,warrior
532,warrior
533,warrior
534,warrior
535,warrior
536,warrior
537,warrior
538,warrior
539,warrior
540,warrior
541,warrior
542,warrior
543,warrior
544,warrior
545,warrior
546,warrior
547,warrior
548,warrior
549,warrior
550,warrior
551,warrior
552,warrior
553,warrior
554,warrior
555,warrior
556,warrior
557,warrior
558,warrior
559,warrior
560,warrior
561,no_pose
562,no_pose
563,no_pose
564,no_pose
565,no_pose
566,no_pose
567,no_pose
568,no_pose
569,no_pose
570,no_pose
571,no_pose
572,no_pose
573,no_pose
574,no_pose
575,no_pose
576,no_pose
577,no_pose
578,no_pose
579,no_pose
580,no_pose
581,no_pose
582,no_pose
583,no_pose
584,no_pose
585,no_pose
586,no_pose
587,no_pose
588,no_pose
589,no_pose
590,no_pose
591,no_pose
592,no_pose
593,no_pose
594,no_pose
595,no_pose
596,no_pose
597,no_pose
598,no_pose
599,no_pose
600,no_pose
601,goddess
602,goddess
603,goddess
604,goddess
605,goddess
606,goddess
607,goddess
608,goddess
609,goddess
610,goddess
611,goddess
612,goddess
613,goddess
614,goddess
615,goddess
616,goddess
617,goddess
618,goddess
619,goddess
620,goddess
621,goddess
622,goddess
623,goddess
624,goddess
625,goddess
626,goddess
627,goddess
628,goddess
629,goddess
630,goddess
631,goddess
632,goddess
633,goddess
634,goddess
635,goddess
636,goddess
637,goddess
638,goddess
639,goddess
640,goddess
641,goddess
642,goddess
643,goddess
644,goddess
645,goddess
646,goddess
647,goddess
648,goddess
649,goddess
650,goddess
651,goddess
652,goddess
653,goddess
654,goddess
655,goddess
656,goddess
657,goddess
658,goddess
659,goddess
660,goddess
661,goddess
662,goddess
663,goddess
664,goddess
665,goddess
666,goddess
667,goddess
668,goddess
669,goddess
670,goddess
671,goddess
672,goddess
673,goddess
674,goddess
675,goddess
676,goddess
677,goddess
678,goddess
679,goddess
680,goddess
681,goddess
682,goddess
683,goddess
684,goddess
685,goddess
686,goddess
687,goddess
688,goddess
689,goddess
690,goddess
691,goddess
692,goddess
693,goddess
694,goddess
695,goddess
696,goddess
697,goddess
698,goddess
699,goddess
700,goddess
701,goddess
702,goddess
703,goddess
704,goddess
705,goddess
706,goddess
707,goddess
708,goddess
709,goddess
710,goddess
711,goddess
712,goddess
713,goddess
714,goddess
715,goddess
716,goddess
717,goddess
718,goddess
719,goddess
720,goddess
721,goddess
722,goddess
723,goddess
724,goddess
725,goddess
726,goddess
727,goddess
728,goddess
729,goddess
730,goddess
731,goddess
732,goddess
733,goddess
734,goddess
735,goddess
736,goddess
737,goddess
738,goddess
739,goddess
740,goddess
741,goddess
742,goddess
743,goddess
744,goddess
745,goddess
746,goddess
747,goddess
748,goddess
749,goddess
750,goddess
751,no_pose
752,no_pose
753,no_pose
754,no_pose
755,no_pose
756,no_pose
757,no_pose
758,no_pose
759,no_pose
760,no_pose
761,no_pose
762,no_pose
763,no_pose
764,no_pose
765,no_pose
766,no_pose
767,no_pose
768,no_pose
769,no_pose
770,no_pose
771,no_pose
772,no_pose
773,no_pose
774,no_pose
775,no_pose
776,no_pose
777,no_pose
778,no_pose
779,no_pose
780,no_pose
781,no_pose
782,no_pose
783,no_pose
784,no_pose
785,no_pose
786,no_pose
787,no_pose
788,no_pose
789,no_pose
790,no_pose
791,no_pose
792,no_pose
793,no_pose
794,no_pose
795,no_pose
796,no_pose
797,no_pose
798,no_pose
799,no_pose
800,no_pose
801,no_pose
802,no_pose
803,no_pose
804,no_pose
805,no_pose
806,downdog
807,downdog
808,downdog
809,downdog
810,downdog
811,downdog
812,downdog
813,downdog
814,downdog
815,downdog
816,downdog
817,downdog
818,downdog
819,downdog
820,downdog
821,downdog
822,downdog
823,downdog
824,downdog
825,downdog
826,downdog
827,downdog
828,downdog
829,downdog
830,downdog
831,downdog
832,downdog
833,downdog
834,downdog
835,downdog
836,downdog
837,downdog
838,downdog
839,downdog
840,downdog
841,downdog
842,downdog
843,downdog
844,downdog
845,downdog
846,downdog
847,downdog
848,downdog
849,downdog
850,downdog
851,downdog
852,downdog
853,downdog
854,downdog
855,downdog
856,downdog
857,downdog
858,downdog
859,downdog
860,downdog
861,downdog
862,downdog
863,downdog
864,downdog
865,downdog
866,downdog
867,downdog
868,downdog
869,downdog
870,downdog
871,downdog
872,downdog
873,downdog
874,downdog
875,downdog
876,downdog
877,downdog
878,downdog
879,downdog
880,downdog
881,downdog
882,downdog
883,downdog
884,downdog
885,downdog
886,downdog
887,downdog
888,downdog
889,downdog
890,downdog
891,downdog
892,downdog
893,downdog
894,downdog
895,downdog
896,downdog
897,downdog
898,downdog
899,downdog
900,downdog
901,downdog
902,downdog
903,downdog
904,downdog
905,downdog
906,downdog
907,downdog
908,downdog
909,downdog
910,downdog
911,downdog
912,downdog
913,downdog
914,downdog
915,downdog
916,downdog
917,downdog
918,downdog
919,downdog
920,downdog
921,downdog
922,downdog
923,downdog
924,downdog
925,downdog
926,downdog
927,downdog
928,downdog
929,downdog
930,downdog
931,downdog
932,downdog
933,downdog
934,downdog
935,downdog
936,downdog
937,downdog
