;pose;punto;ang optimo;ang medido medio;mejor
30;downdog;12;169;170;169
28;downdog;14;166;169;166
29;downdog;24;56;53;56
31;downdog;26;174;173;174
16;goddess;23;108;124;111
17;goddess;24;108;120;108
18;goddess;25;114;121;114
19;goddess;26;114;109;114
8;tree;23;120;131;120
9;tree;24;174;174;174
10;tree;25;56;78;52
11;tree;26;176;176;176
12;tree_inv;23;174;175;174
13;tree_inv;24;120;125;120
14;tree_inv;25;176;178;176
15;tree_inv;26;56;55;57
3;warrior;11;95;78;94
4;warrior;12;97;74;97
0;warrior;13;172;174;172
5;warrior;14;171;174;171
1;warrior;23;100;136;111
2;warrior;24;135;147;134
6;warrior;25;110;140;114
7;warrior;26;170;173;170
23;warrior_inv;11;95;94;95
24;warrior_inv;12;97;102;98
20;warrior_inv;13;172;161;172
25;warrior_inv;14;171;162;171
21;warrior_inv;23;135;138;136
22;warrior_inv;24;100;117;107
26;warrior_inv;25;170;162;173
27;warrior_inv;26;110;120;111
